frame_index,RightUpperLeg_orientation_w,RightUpperLeg_orientation_x,RightUpperLeg_orientation_y,RightUpperLeg_orientation_z,RightLowerLeg_orientation_w,RightLowerLeg_orientation_x,RightLowerLeg_orientation_y,RightLowerLeg_orientation_z,RightUpperLeg_angularVelocity_x,RightUpperLeg_angularVelocity_y,RightUpperLeg_angularVelocity_z,RightLowerLeg_angularVelocity_x,RightLowerLeg_angularVelocity_y,RightLowerLeg_angularVelocity_z,RightUpperLeg_acceleration_x,RightUpperLeg_acceleration_y,RightUpperLeg_acceleration_z,RightLowerLeg_acceleration_x,RightLowerLeg_acceleration_y,RightLowerLeg_acceleration_z
77,0.629069,-0.093154,0.065785,0.768939,0.657390,-0.023794,0.019815,0.752914,0.070738,-0.029997,-0.065205,-0.000858,-0.031410,0.045930,-0.115203,-0.122930,-0.114664,-0.043890,0.227491,-0.044117
78,0.629058,-0.093040,0.065643,0.768974,0.657295,-0.023873,0.019874,0.752993,0.079449,-0.028550,-0.059432,-0.008840,-0.033729,0.039586,0.265290,-0.480750,-0.024576,-0.242496,0.515699,-0.026851
79,0.629039,-0.092915,0.065496,0.769017,0.657185,-0.023963,0.019935,0.753084,0.088968,-0.032993,-0.055805,-0.007672,-0.030492,0.052354,-0.098989,-0.395552,-0.017337,-0.127423,0.340369,-0.049188
80,0.629017,-0.092781,0.065344,0.769064,0.657068,-0.024063,0.019998,0.753182,0.099818,-0.023450,-0.037356,-0.008460,-0.035391,0.065551,0.546608,-0.642170,0.170255,-0.468737,0.429153,0.013417
81,0.628997,-0.092639,0.065188,0.769111,0.656951,-0.024172,0.020063,0.753278,0.113097,-0.006723,-0.011257,-0.010772,-0.038499,0.079119,0.842953,-0.887691,0.434377,-0.524515,0.561643,-0.010618
82,0.628982,-0.092492,0.065030,0.769154,0.656842,-0.024288,0.020128,0.753368,0.127839,0.028804,0.016960,-0.019100,-0.040403,0.093876,1.911205,-0.998276,0.773056,-0.506743,0.777033,-0.102008
83,0.628978,-0.092341,0.064869,0.769189,0.656747,-0.024411,0.020195,0.753445,0.142866,0.067078,0.046180,-0.028634,-0.043566,0.097079,1.916485,-1.071333,0.786748,-0.473306,0.903870,-0.105199
84,0.628990,-0.092187,0.064706,0.769212,0.656674,-0.024540,0.020263,0.753503,0.146360,0.098453,0.051402,-0.044777,-0.047489,0.087151,1.478130,0.048637,0.614864,-0.264382,1.277823,-0.055489
85,0.629021,-0.092033,0.064543,0.769218,0.656630,-0.024674,0.020331,0.753535,0.146941,0.112085,0.036770,-0.054146,-0.051717,0.070629,0.360389,0.409494,0.218073,-0.022705,1.154283,-0.014599
86,0.629078,-0.091880,0.064379,0.769204,0.656622,-0.024812,0.020400,0.753536,0.135801,0.105690,-0.000066,-0.052132,-0.050267,0.045079,-0.884517,1.386514,-0.217197,0.339668,0.978846,-0.050091
87,0.629164,-0.091730,0.064216,0.769165,0.656658,-0.024953,0.020469,0.753498,0.122485,0.091407,-0.054911,-0.047766,-0.046816,0.009767,-1.243081,1.749855,-0.535746,0.374975,0.928325,-0.067815
88,0.629284,-0.091576,0.064053,0.769099,0.656746,-0.025100,0.020536,0.753414,0.109715,0.071943,-0.110518,-0.046717,-0.042385,-0.029500,-1.509730,1.614592,-0.611042,0.390471,0.925895,0.053077
89,0.629437,-0.091412,0.063891,0.769007,0.656884,-0.025258,0.020600,0.753287,0.100904,0.052315,-0.149751,-0.048118,-0.036497,-0.066428,-1.524267,1.007875,-0.529538,0.284799,0.809907,0.011093
90,0.629616,-0.091241,0.063729,0.768894,0.657062,-0.025424,0.020663,0.753124,0.091334,0.041587,-0.179045,-0.050562,-0.031782,-0.095421,-0.922371,0.809531,-0.371776,0.146115,0.789216,0.103392
91,0.629816,-0.091066,0.063566,0.768764,0.657272,-0.025597,0.020725,0.752934,0.085514,0.032507,-0.191888,-0.055184,-0.029680,-0.117828,-0.859567,0.258853,-0.202709,-0.020940,0.711181,0.069418
92,0.630032,-0.090888,0.063401,0.768621,0.657503,-0.025776,0.020788,0.752724,0.081131,0.033354,-0.191314,-0.063274,-0.026577,-0.134787,-0.235564,0.028051,0.018580,-0.139404,0.686478,0.103058
93,0.630258,-0.090710,0.063233,0.768471,0.657747,-0.025960,0.020854,0.752503,0.078362,0.043118,-0.174785,-0.069605,-0.026001,-0.149018,0.291046,-0.387564,0.247461,-0.195256,0.597898,0.036511
94,0.630487,-0.090535,0.063063,0.768318,0.657993,-0.026146,0.020922,0.752279,0.083895,0.063829,-0.149660,-0.074533,-0.029169,-0.152734,0.924728,-0.995322,0.484483,-0.265881,0.469003,0.029769
95,0.630715,-0.090365,0.062889,0.768165,0.658233,-0.026335,0.020995,0.752060,0.087831,0.075285,-0.114529,-0.076051,-0.033730,-0.149717,0.288086,-0.946620,0.280819,-0.317438,0.316082,-0.041047
96,0.630936,-0.090202,0.062711,0.768018,0.658458,-0.026524,0.021074,0.751855,0.089779,0.076691,-0.092616,-0.080888,-0.036731,-0.140102,-0.287039,-0.499014,0.073592,-0.145264,0.422744,0.003053
97,0.631143,-0.090049,0.062528,0.767880,0.658657,-0.026712,0.021160,0.751671,0.088175,0.059361,-0.087669,-0.088756,-0.034207,-0.131187,-1.445203,0.150451,-0.299593,0.030767,0.481207,-0.132866
98,0.631332,-0.089908,0.062339,0.767757,0.658822,-0.026898,0.021254,0.751517,0.082175,0.034335,-0.101511,-0.091699,-0.038303,-0.115026,-1.915372,0.947004,-0.604876,-0.073580,0.329429,-0.148595
99,0.631497,-0.089781,0.062144,0.767652,0.658943,-0.027081,0.021358,0.751401,0.082403,0.012046,-0.104390,-0.094483,-0.037592,-0.095213,-1.854829,0.487941,-0.437469,0.201770,0.316347,-0.133460
100,0.631646,-0.089667,0.061938,0.767559,0.659028,-0.027261,0.021473,0.751318,0.083219,-0.007599,-0.097315,-0.094407,-0.039391,-0.076869,-1.775932,0.421426,-0.408733,0.150515,0.251706,-0.202350
101,0.631793,-0.089561,0.061719,0.767468,0.659089,-0.027442,0.021599,0.751253,0.083819,-0.021922,-0.098722,-0.094251,-0.039074,-0.061508,-1.392687,0.587726,-0.365499,0.088851,0.223558,-0.126930
102,0.631936,-0.089463,0.061489,0.767380,0.659131,-0.027622,0.021736,0.751206,0.082393,-0.027360,-0.093552,-0.095860,-0.037656,-0.047322,-0.798467,0.786411,-0.130801,0.004029,0.263457,-0.037084
103,0.632073,-0.089373,0.061253,0.767297,0.659154,-0.027803,0.021880,0.751175,0.082376,-0.035657,-0.088297,-0.096690,-0.038963,-0.035534,-0.933518,0.661289,-0.177368,-0.146600,0.236343,0.105387
104,0.632203,-0.089290,0.061012,0.767219,0.659162,-0.027985,0.022030,0.751157,0.080546,-0.043325,-0.086075,-0.099322,-0.038025,-0.029896,-0.787266,0.859189,-0.131343,-0.170315,0.244755,0.055807
105,0.632323,-0.089214,0.060769,0.767147,0.659157,-0.028167,0.022184,0.751150,0.073071,-0.048613,-0.085928,-0.102157,-0.037676,-0.017259,-0.533902,1.182744,-0.175495,-0.227849,0.214453,0.189563
106,0.632434,-0.089145,0.060529,0.767084,0.659140,-0.028350,0.022340,0.751154,0.063622,-0.056419,-0.090238,-0.105690,-0.038500,0.002093,-0.613567,1.371912,-0.177732,-0.295341,0.247341,0.150101
107,0.632532,-0.089082,0.060293,0.767028,0.659115,-0.028534,0.022495,0.751164,0.053520,-0.058530,-0.075438,-0.105807,-0.040013,0.017268,-0.318477,1.002829,-0.128952,-0.454569,0.068362,0.095720
108,0.632617,-0.089026,0.060064,0.766983,0.659082,-0.028719,0.022648,0.751181,0.041152,-0.054539,-0.061059,-0.112446,-0.041594,0.035987,0.010075,0.960802,-0.100616,-0.465567,0.309254,0.015791
109,0.632687,-0.088975,0.059847,0.766948,0.659046,-0.028905,0.022797,0.751201,0.026954,-0.047034,-0.044156,-0.115976,-0.044802,0.051606,0.107669,0.969096,-0.017541,-0.534632,0.194038,0.006773
110,0.632740,-0.088930,0.059643,0.766925,0.659008,-0.029093,0.022939,0.751223,0.015294,-0.034622,-0.017791,-0.122172,-0.048357,0.068017,0.262922,0.473565,0.072821,-0.504873,0.318332,-0.043881
111,0.632775,-0.088890,0.059456,0.766915,0.658969,-0.029283,0.023074,0.751245,0.001472,-0.023182,0.006213,-0.123107,-0.046935,0.085403,0.202305,0.507186,0.081247,-0.303546,0.238707,-0.090727
112,0.632782,-0.088861,0.059290,0.766926,0.658922,-0.029469,0.023199,0.751276,-0.015346,-0.022004,0.020069,-0.126378,-0.046750,0.097824,-0.484326,0.778525,-0.287984,-0.450797,0.404033,-0.160112
113,0.632754,-0.088846,0.059144,0.766962,0.658856,-0.029648,0.023316,0.751323,-0.029463,-0.018817,0.031054,-0.126706,-0.047707,0.098327,-0.325100,0.583937,-0.219963,-0.427745,0.290191,-0.075529
114,0.632699,-0.088841,0.059014,0.767018,0.658776,-0.029822,0.023427,0.751383,-0.043605,-0.019383,0.038572,-0.127097,-0.045804,0.096191,-0.522609,0.484587,-0.327669,-0.453487,0.352535,-0.056842
