frame_index,LeftUpperLeg_orientation_w,LeftUpperLeg_orientation_x,LeftUpperLeg_orientation_y,LeftUpperLeg_orientation_z,LeftLowerLeg_orientation_w,LeftLowerLeg_orientation_x,LeftLowerLeg_orientation_y,LeftLowerLeg_orientation_z,LeftUpperLeg_angularVelocity_x,LeftUpperLeg_angularVelocity_y,LeftUpperLeg_angularVelocity_z,LeftLowerLeg_angularVelocity_x,LeftLowerLeg_angularVelocity_y,LeftLowerLeg_angularVelocity_z,LeftUpperLeg_acceleration_x,LeftUpperLeg_acceleration_y,LeftUpperLeg_acceleration_z,LeftLowerLeg_acceleration_x,LeftLowerLeg_acceleration_y,LeftLowerLeg_acceleration_z
90,0.513547,-0.008607,0.004397,0.858007,0.560541,-0.037863,0.033535,0.826581,-0.014069,-0.015006,-0.018593,-0.064930,-0.079689,-0.242390,-0.551757,-0.036148,-0.015094,-0.461053,0.547162,-0.273100
91,0.513625,-0.008546,0.004329,0.857962,0.560962,-0.037973,0.033559,0.826289,-0.009914,-0.020478,-0.015760,-0.065841,-0.077125,-0.257875,-0.674863,-0.164737,-0.005583,-0.487485,0.664167,-0.205793
92,0.513695,-0.008481,0.004259,0.857920,0.561394,-0.038092,0.033586,0.825989,-0.001950,-0.023500,-0.019564,-0.068995,-0.071130,-0.268079,-0.512524,-0.489665,0.037076,-0.396921,0.859654,-0.178819
93,0.513756,-0.008410,0.004187,0.857885,0.561830,-0.038219,0.033616,0.825686,0.005147,-0.020726,-0.024701,-0.074152,-0.071311,-0.270741,-0.155245,-0.459730,0.027667,-0.607571,0.871954,-0.094133
94,0.513805,-0.008334,0.004111,0.857857,0.562262,-0.038356,0.033648,0.825384,0.012148,-0.020346,-0.026047,-0.085027,-0.068769,-0.259544,-0.439687,-0.448701,0.004764,-0.575335,0.965370,-0.046232
95,0.513838,-0.008249,0.004034,0.857838,0.562685,-0.038503,0.033681,0.825087,0.016884,-0.015563,-0.027241,-0.083044,-0.075963,-0.251164,-0.178009,-0.232475,0.021372,-0.890915,0.577426,-0.029259
96,0.513854,-0.008156,0.003954,0.857830,0.563092,-0.038661,0.033716,0.824801,0.023467,-0.013473,-0.020826,-0.086518,-0.079788,-0.234948,-0.475001,-0.278721,0.084304,-0.706240,0.764981,-0.020220
97,0.513850,-0.008052,0.003871,0.857833,0.563476,-0.038830,0.033752,0.824529,0.031221,-0.005446,-0.015073,-0.091807,-0.085717,-0.213038,-0.071999,-0.333937,0.101902,-0.815948,0.629546,0.050994
98,0.513824,-0.007937,0.003786,0.857850,0.563831,-0.039011,0.033788,0.824276,0.034204,0.002756,-0.005825,-0.094395,-0.084704,-0.194114,-0.112660,0.050615,0.078100,-0.529914,0.526320,0.111001
99,-0.513773,0.007810,-0.003698,-0.857882,0.564150,-0.039205,0.033825,0.824047,0.035642,0.011464,0.017371,-0.095713,-0.088990,-0.182507,-0.072427,0.375700,0.158881,-0.628771,0.399619,0.135298
