frame_index,T8_orientation_w,T8_orientation_x,T8_orientation_y,T8_orientation_z,T8_angularVelocity_x,T8_angularVelocity_y,T8_angularVelocity_z,T8_acceleration_x,T8_acceleration_y,T8_acceleration_z
116,0.893854,0.000261,0.005307,-0.448328,0.070696,-0.020012,-0.002593,0.009983,-0.028967,0.085163
117,0.893851,0.000389,0.005331,-0.448333,0.073834,-0.018684,-0.000534,0.021687,0.000816,0.126715
118,0.893848,0.000515,0.005357,-0.448337,0.071847,-0.016856,-0.003258,0.036745,0.043408,0.023058
119,0.893846,0.000638,0.005382,-0.448341,0.069891,-0.019439,-0.000636,0.045285,-0.050416,-0.102862
120,0.893844,0.000759,0.005409,-0.448344,0.071352,-0.019166,-0.003784,0.041477,0.045564,0.030728
121,0.893843,0.000878,0.005435,-0.448347,0.071088,-0.018256,-0.004585,-0.044748,0.004322,0.047692
122,0.893841,0.000996,0.005462,-0.448351,0.069261,-0.01903,-0.001832,-0.110507,-0.073654,-0.102788
123,0.893838,0.001113,0.005488,-0.448354,0.065233,-0.01629,0.000893,-0.140412,-0.14808,-0.058113
124,0.893836,0.001228,0.005515,-0.448358,0.066489,-0.012345,0.000279,-0.146526,-0.00641,0.138977
125,0.893834,0.001343,0.005543,-0.448361,0.066158,-0.01181,0.000954,-0.055222,-0.05237,-0.008084
126,0.893833,0.001457,0.005571,-0.448364,0.063745,-0.0123,0.00077,-0.017998,-0.069746,-0.077342
127,0.893831,0.00157,0.0056,-0.448365,0.062239,-0.007229,0.000541,-0.049493,-0.034383,0.128169
128,0.893831,0.001682,0.005631,-0.448366,0.058174,-0.008443,-0.003421,0.184569,0.035703,-0.129252
129,0.893831,0.001794,0.005663,-0.448366,0.061755,-0.005392,-0.001759,-0.050237,-0.005551,0.086368
130,0.893831,0.001905,0.005696,-0.448363,0.062858,-0.005964,0.000843,0.039712,-0.041869,0.042887
131,0.893833,0.002015,0.005732,-0.448359,0.059518,-0.006294,0.000281,0.087927,-0.014671,-0.095541
132,0.893835,0.002124,0.005769,-0.448353,0.060549,-0.007484,-0.000221,0.125125,0.013255,0.029959
133,0.893839,0.002234,0.005808,-0.448345,0.061867,-0.006087,-0.005097,0.190833,0.096932,0.083924
134,0.893844,0.002346,0.00585,-0.448334,0.063069,-0.004442,-0.000787,-0.030715,-0.082903,0.16749
135,0.893849,0.002457,0.005893,-0.448322,0.062555,-0.004748,0.001112,0.083196,0.005282,0.056496
136,0.893856,0.002569,0.005938,-0.448308,0.062537,-0.005764,0.001517,0.100453,-0.020157,0.007707
137,0.893863,0.00268,0.005985,-0.448293,0.063938,-0.003038,0.006438,-0.093622,-0.039651,0.075578
138,0.89387,0.002789,0.006032,-0.448277,0.062095,-0.001494,0.008464,-0.023383,-0.009557,0.022426
139,0.893878,0.002897,0.006081,-0.448259,0.065546,-0.002205,0.011752,0.000508,0.022059,0.063289
140,0.893887,0.003002,0.00613,-0.448241,0.068012,0.001108,0.013894,-0.015809,-0.001764,0.064971
141,0.893895,0.003103,0.00618,-0.448223,0.070158,0.003923,0.014529,-0.020433,-0.011221,0.047457
142,0.893904,0.003201,0.006231,-0.448204,0.069714,0.003148,0.015048,0.088386,-0.018486,-0.080001
143,0.893913,0.003294,0.006281,-0.448185,0.070662,0.004903,0.013415,-0.017533,0.119917,-0.02262
144,0.893921,0.003381,0.006332,-0.448166,0.063097,0.003551,0.01393,-0.04531,-0.124444,-0.252754
145,0.893931,0.003463,0.006384,-0.448147,0.061172,0.003463,0.013541,0.006263,0.012332,-0.091596
146,0.893941,0.003539,0.006437,-0.448124,0.055823,0.003377,0.012354,0.075893,-0.107119,-0.105949
